@relation InstanceResultListener

@attribute Key_Dataset {FAS}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.trees.RandomForest,weka.classifiers.functions.SMO,weka.classifiers.functions.MultilayerPerceptron}
@attribute Key_Scheme_options {'-C 0.25 -M 2','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a'}
@attribute Key_Scheme_version_ID {-217733168393644444,1116839470751428698,-6585883636378691736,-5990607817048210779}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 282\nSize of the tree: 537\n','Number of leaves: 260\nSize of the tree: 496\n','Number of leaves: 277\nSize of the tree: 527\n','Number of leaves: 271\nSize of the tree: 512\n','Number of leaves: 257\nSize of the tree: 487\n','Number of leaves: 248\nSize of the tree: 471\n','Number of leaves: 233\nSize of the tree: 445\n','Number of leaves: 250\nSize of the tree: 475\n','Number of leaves: 264\nSize of the tree: 499\n','Number of leaves: 245\nSize of the tree: 464\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric

@data

FAS,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20251201.1941,3600,400,307,93,0,76.75,23.25,0,0.636189,0.180763,0.377393,42.793231,82.144283,603.597757,58185.956683,-57582.358926,1.508994,145.464892,-143.955897,375.551059,0.938878,62.218763,0.763736,139,0.110092,24,0.889908,194,0.236264,43,0.852761,0.763736,0.805797,0.662426,0.80124,0.7535,0.7675,0.124056,0.875944,0.2325,0.774037,0.7675,0.768752,0.641023,0.802272,0.67106,0.75504,0.7675,0.072,0,0.0625,0,62.5,0,112449,798279,91079,81.75,50.916667,'Number of leaves: 282\nSize of the tree: 537\n',537,282,282,?
FAS,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20251201.1941,3600,400,307,93,0,76.75,23.25,0,0.628731,0.181204,0.367333,42.897576,79.954647,603.597757,45328.455383,-44724.857626,1.508994,113.321138,-111.812144,373.169688,0.932924,61.824234,0.846154,154,0.215596,47,0.784404,171,0.153846,28,0.766169,0.846154,0.804178,0.628006,0.827667,0.731865,0.7675,0.145735,0.854265,0.2325,0.767838,0.7675,0.765887,0.629496,0.818695,0.696085,0.755185,0.7675,0.065,0,0.0625,0,62.5,0,104191,798279,91079,85.75,54.833333,'Number of leaves: 260\nSize of the tree: 496\n',496,260,260,?
FAS,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20251201.1941,3600,400,293,107,0,73.25,26.75,0,0.569347,0.201442,0.401769,47.688601,87.449975,603.597757,63582.805074,-62979.207317,1.508994,158.957013,-157.448018,338.240086,0.8456,56.037333,0.807692,147,0.206422,45,0.793578,173,0.192308,35,0.765625,0.807692,0.786096,0.59931,0.79717,0.712775,0.7325,0.165728,0.834272,0.2675,0.732443,0.7325,0.727306,0.576058,0.778688,0.647632,0.700979,0.7325,0.067,0,0.0625,0,62.5,0,110429,798279,91079,80.5,53.416667,'Number of leaves: 277\nSize of the tree: 527\n',527,277,277,?
FAS,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20251201.1941,3600,400,295,105,0,73.75,26.25,0,0.585124,0.199423,0.397836,47.193252,86.558136,603.977757,63564.278169,-62960.300412,1.509944,158.910695,-157.400751,348.329956,0.870825,57.672646,0.779006,141,0.187215,41,0.812785,178,0.220994,40,0.774725,0.779006,0.77686,0.591515,0.782323,0.698747,0.7375,0.152596,0.847404,0.2625,0.737131,0.7375,0.737288,0.585568,0.776797,0.635568,0.723168,0.7375,0.066,0,0.0625,0,62.5,0,107375,798279,91079,82,55.333333,'Number of leaves: 271\nSize of the tree: 512\n',512,271,271,?
FAS,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20251201.1941,3600,400,296,104,0,74,26,0,0.586234,0.197913,0.393785,46.836064,85.676794,603.977757,50742.561159,-50138.583402,1.509944,126.856403,-125.346459,349.717803,0.874295,57.902431,0.81768,148,0.205479,45,0.794521,174,0.18232,33,0.766839,0.81768,0.791444,0.609805,0.817061,0.737374,0.74,0.15413,0.84587,0.26,0.738052,0.74,0.73834,0.590152,0.792179,0.665502,0.71765,0.74,0.066,0,0.078125,0,78.125,0,102349,798279,91079,82.75,57.5,'Number of leaves: 257\nSize of the tree: 487\n',487,257,257,?
FAS,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20251201.1941,3600,400,309,91,0,77.25,22.75,0,0.640295,0.182468,0.369063,43.180873,80.298009,603.977757,41065.807622,-40461.829865,1.509944,102.664519,-101.154575,374.2563,0.935641,61.965246,0.80663,146,0.16895,37,0.83105,182,0.19337,35,0.797814,0.80663,0.802198,0.637102,0.822536,0.738185,0.7725,0.134524,0.865476,0.2275,0.772212,0.7725,0.772321,0.638985,0.817551,0.70591,0.76337,0.7725,0.064,0,0.0625,0,62.5,0,99133,798279,91079,86.75,57.166667,'Number of leaves: 248\nSize of the tree: 471\n',471,248,248,?
FAS,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20251201.1941,3600,400,293,107,0,73.25,26.75,0,0.573624,0.200654,0.394217,47.459666,85.7202,604.787718,48598.876808,-47994.08909,1.511969,121.497192,-119.985223,343.293906,0.858235,56.762711,0.78453,142,0.205479,45,0.794521,174,0.21547,39,0.759358,0.78453,0.771739,0.577654,0.809809,0.761618,0.7325,0.161399,0.838601,0.2675,0.730956,0.7325,0.73004,0.576026,0.803351,0.681582,0.710368,0.7325,0.063,0,0.0625,0,62.5,0,93913,798279,91079,83,56.333333,'Number of leaves: 233\nSize of the tree: 445\n',445,233,233,?
FAS,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20251201.1941,3600,400,306,94,0,76.5,23.5,0,0.627406,0.186714,0.369148,44.162591,80.26909,604.787718,45333.217091,-44728.429373,1.511969,113.333043,-111.821073,366.065439,0.915164,60.527922,0.867403,157,0.200913,44,0.799087,175,0.132597,24,0.781095,0.867403,0.82199,0.663484,0.860882,0.775912,0.765,0.136292,0.863708,0.235,0.769082,0.765,0.763599,0.636248,0.824687,0.718022,0.742853,0.765,0.077,0,0.078125,0,78.125,0,99941,798279,91079,86,60.666667,'Number of leaves: 250\nSize of the tree: 475\n',475,250,250,?
FAS,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20251201.1941,3600,400,285,115,0,71.25,28.75,0,0.547703,0.21111,0.41191,49.932786,89.567493,604.787718,67867.693471,-67262.905753,1.511969,169.669234,-168.157264,334.906193,0.837265,55.375826,0.740331,134,0.200913,44,0.799087,175,0.259669,47,0.752809,0.740331,0.746518,0.540257,0.768952,0.691081,0.7125,0.164958,0.835042,0.2875,0.71303,0.7125,0.712724,0.546773,0.771822,0.627967,0.699875,0.7125,0.071,0,0.078125,0,78.125,0,104757,798279,91079,81.5,54.25,'Number of leaves: 264\nSize of the tree: 499\n',499,264,264,?
