@relation InstanceResultListener

@attribute Key_Dataset {'FAS-weka.filters.unsupervised.attribute.Remove-R4,9-13,15,18-19'}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.trees.RandomForest,weka.classifiers.functions.SMO,weka.classifiers.functions.MultilayerPerceptron}
@attribute Key_Scheme_options {'-C 0.25 -M 2','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a'}
@attribute Key_Scheme_version_ID {-217733168393644444,1116839470751428698,-6585883636378691736,-5990607817048210779}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 348\nSize of the tree: 660\n','Number of leaves: 346\nSize of the tree: 655\n','Number of leaves: 333\nSize of the tree: 629\n','Number of leaves: 328\nSize of the tree: 625\n','Number of leaves: 359\nSize of the tree: 686\n','Number of leaves: 339\nSize of the tree: 633\n','Number of leaves: 366\nSize of the tree: 693\n','Number of leaves: 303\nSize of the tree: 570\n','Number of leaves: 302\nSize of the tree: 575\n','Number of leaves: 336\nSize of the tree: 634\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric

@data

'FAS-weka.filters.unsupervised.attribute.Remove-R4,9-13,15,18-19',1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20251203.2225,3600,400,305,95,0,76.25,23.75,0,0.621917,0.192683,0.376057,45.615208,81.853504,603.597757,48552.410068,-47948.812311,1.508994,121.381025,-119.872031,357.681427,0.894204,59.258243,0.82967,151,0.183486,40,0.816514,178,0.17033,31,0.790576,0.82967,0.809651,0.644214,0.826091,0.729727,0.7625,0.140243,0.859757,0.2375,0.760454,0.7625,0.760972,0.626044,0.816311,0.697373,0.739843,0.7625,0.113,0.003,0.09375,0.015625,93.75,15.625,136723,538579,61779,86.5,62,'Number of leaves: 348\nSize of the tree: 660\n',660,348,348,?
'FAS-weka.filters.unsupervised.attribute.Remove-R4,9-13,15,18-19',1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20251203.2225,3600,400,288,112,0,72,28,0,0.559415,0.218149,0.404815,51.64394,88.112975,603.597757,64647.1468,-64043.549043,1.508994,161.617867,-160.108873,327.203245,0.818008,54.208824,0.774725,141,0.174312,38,0.825688,180,0.225275,41,0.787709,0.774725,0.781163,0.601301,0.813527,0.761383,0.72,0.155636,0.844364,0.28,0.721364,0.72,0.720577,0.563049,0.782826,0.656251,0.70302,0.72,0.073,0.001,0.046875,0,46.875,0,135705,538579,61779,83.25,59,'Number of leaves: 346\nSize of the tree: 655\n',655,346,346,?
'FAS-weka.filters.unsupervised.attribute.Remove-R4,9-13,15,18-19',1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20251203.2225,3600,400,260,140,0,65,35,0,0.437977,0.249922,0.44187,59.165743,96.178607,603.597757,58320.401946,-57716.804189,1.508994,145.801005,-144.29201,274.336969,0.685842,45.450296,0.758242,138,0.284404,62,0.715596,156,0.241758,44,0.69,0.758242,0.722513,0.471915,0.765614,0.665901,0.65,0.213918,0.786082,0.35,0.645317,0.65,0.645764,0.442482,0.758269,0.614743,0.619392,0.65,0.054,0,0.046875,0,46.875,0,130453,538579,61779,83,61.75,'Number of leaves: 333\nSize of the tree: 629\n',629,333,333,?
'FAS-weka.filters.unsupervised.attribute.Remove-R4,9-13,15,18-19',1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20251203.2225,3600,400,276,124,0,69,31,0,0.505966,0.236525,0.423219,55.973573,92.080693,603.977757,61476.733222,-60872.755465,1.509944,153.691833,-152.181889,300.19754,0.750494,49.70341,0.767956,139,0.242009,53,0.757991,166,0.232044,42,0.723958,0.767956,0.745308,0.523987,0.769482,0.65761,0.69,0.184621,0.815379,0.31,0.687033,0.69,0.687803,0.509289,0.756144,0.603114,0.664173,0.69,0.044,0,0.046875,0,46.875,0,129693,538579,61779,83,58.25,'Number of leaves: 328\nSize of the tree: 625\n',625,328,328,?
'FAS-weka.filters.unsupervised.attribute.Remove-R4,9-13,15,18-19',1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20251203.2225,3600,400,247,153,0,61.75,38.25,0,0.393501,0.271031,0.472161,64.139281,102.729252,603.977757,80852.423492,-80248.445736,1.509944,202.131059,-200.621114,249.624255,0.624061,41.330041,0.696133,126,0.292237,64,0.707763,155,0.303867,55,0.663158,0.696133,0.679245,0.402572,0.722798,0.62506,0.6175,0.22281,0.77719,0.3825,0.616034,0.6175,0.616429,0.396546,0.713981,0.559878,0.589663,0.6175,0.052,0,0.046875,0,46.875,0,142007,538579,61779,76.25,54.416667,'Number of leaves: 359\nSize of the tree: 686\n',686,359,359,?
'FAS-weka.filters.unsupervised.attribute.Remove-R4,9-13,15,18-19',1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20251203.2225,3600,400,284,116,0,71,29,0,0.542848,0.227408,0.413213,53.81609,89.903764,603.977757,64667.799301,-64063.821544,1.509944,161.669498,-160.159554,317.296888,0.793242,52.534532,0.762431,138,0.219178,48,0.780822,171,0.237569,43,0.741935,0.762431,0.752044,0.542126,0.77179,0.673315,0.71,0.168059,0.831941,0.29,0.710724,0.71,0.709846,0.542223,0.765066,0.618494,0.69708,0.71,0.044,0,0.046875,0,46.875,0,131197,538579,61779,83.5,63.916667,'Number of leaves: 339\nSize of the tree: 633\n',633,339,339,?
'FAS-weka.filters.unsupervised.attribute.Remove-R4,9-13,15,18-19',1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20251203.2225,3600,400,266,134,0,66.5,33.5,0,0.467282,0.249039,0.446934,58.904131,97.183227,604.787718,87210.611201,-86605.823483,1.511969,218.026528,-216.514559,281.219908,0.70305,46.498945,0.701657,127,0.242009,53,0.757991,166,0.298343,54,0.705556,0.701657,0.703601,0.459875,0.713678,0.598903,0.665,0.198987,0.801013,0.335,0.662998,0.665,0.661884,0.469035,0.716887,0.564127,0.638708,0.665,0.046,0,0.046875,0,46.875,0,143365,538579,61779,76.5,56,'Number of leaves: 366\nSize of the tree: 693\n',693,366,366,?
'FAS-weka.filters.unsupervised.attribute.Remove-R4,9-13,15,18-19',1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20251203.2225,3600,400,282,118,0,70.5,29.5,0,0.524371,0.231947,0.417451,54.86136,90.772307,604.787718,66824.738487,-66219.950769,1.511969,167.061846,-165.549877,306.929904,0.767325,50.750023,0.812155,147,0.255708,56,0.744292,163,0.187845,34,0.724138,0.812155,0.765625,0.553993,0.768801,0.655686,0.705,0.187659,0.812341,0.295,0.70588,0.705,0.70074,0.529745,0.743815,0.605949,0.68181,0.705,0.044,0,0.046875,0,46.875,0,118543,538579,61779,81,64.666667,'Number of leaves: 303\nSize of the tree: 570\n',570,303,303,?
'FAS-weka.filters.unsupervised.attribute.Remove-R4,9-13,15,18-19',1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20251203.2225,3600,400,280,120,0,70,30,0,0.5231,0.229357,0.414151,54.248842,90.05474,604.787718,53981.827223,-53377.039505,1.511969,134.954568,-133.442599,310.329574,0.775824,51.312149,0.740331,134,0.219178,48,0.780822,171,0.259669,47,0.736264,0.740331,0.738292,0.52091,0.778337,0.690556,0.7,0.180912,0.819088,0.3,0.701172,0.7,0.698936,0.523507,0.770305,0.645644,0.685238,0.7,0.04,0.001,0.046875,0,46.875,0,119609,538579,61779,84,65.5,'Number of leaves: 302\nSize of the tree: 575\n',575,302,302,?
'FAS-weka.filters.unsupervised.attribute.Remove-R4,9-13,15,18-19',1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20251203.2225,3600,400,285,115,0,71.25,28.75,0,0.538935,0.226064,0.40989,53.469861,89.128149,604.787718,68944.360861,-68339.573142,1.511969,172.360902,-170.848933,316.297222,0.790743,52.298883,0.828729,150,0.273973,60,0.726027,159,0.171271,31,0.714286,0.828729,0.767263,0.552939,0.781478,0.696342,0.7125,0.182366,0.817634,0.2875,0.712274,0.7125,0.70861,0.541512,0.763565,0.635967,0.696143,0.7125,0.046,0.001,0.046875,0,46.875,0,131455,538579,61779,82.5,62.666667,'Number of leaves: 336\nSize of the tree: 634\n',634,336,336,?
'FAS-weka.filters.unsupervised.attribute.Remove-R4,9-13,15,18-19',1,1,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20251203.2225,3600,400,320,80,0,80,20,0,0.680773,0.22525,0.32282,53.324823,70.265786,603.597757,337.610996,265.986761,1.508994,0.844027,0.664967,328.19916,0.820498,54.37382,0.840659,153,0.151376,33,0.848624,185,0.159341,29,0.822581,0.840659,0.831522,0.688174,0.908862,0.900547,0.8,0.123575,0.876425,0.2,0.801929,0.8,0.798893,0.682834,0.903713,0.850538,0.787236,0.8,0.694,0.013,0.671875,0,671.875,0,8302078,538579,61779,97.75,81.583333,?,?,?,?,-1
